title,views,likes,upload,comments
"Making Cross Validation Simple|What,why and types of Cross validation",8100,281,21-Aug-20,48
Devops and CI CD Pipeline|What is Devops and CI CD pipeline in Data Science,2200,62,19-Aug-20,15
5 Best Books for Data Science(Free pdfs)|Best data science books 2020,9300,322,16-Aug-20,74
Agile in Data Science|Understanding agility in data science projects,2200,75,14-Aug-20,17
5 DON'TS for first Data Science Job|How to get first job in Data Science,5200,243,9-Aug-20,53
"Probability density function , CDF, Normal distribution| Cumulative Distribution Function, z-score",16000,373,7-Aug-20,62
"Random Variable, Probability Mass function, Cumulative distribution function|PMF and CDF",10000,277,5-Aug-20,40
Unfold Data Science Turns 1|One year journey of unfold data science,330,26,2-Aug-20,26
Hypothesis testing Practical Implementation Part 2|Hypothesis testing with data example in python,10000,274,1-Aug-20,47
Hypothesis testing Practical Implementation|Hypothesis testing with data example in python,32000,746,29-Jul-20,135
Data Science Job Market Now|How to get Data Science Job|Data Science Jobs,7000,262,26-Jul-20,88
Anova T test Chi square When to use what|Understanding details about the hypothesis testing,146000,4200,25-Jul-20,416
P Value and Hypothesis Testing Simplified|P-value and Hypothesis testing concepts in Statistics,85000,3400,22-Jul-20,366
Cartoon image in deep learning|Creating cartoon image using pre trained deep learning model,5000,102,19-Jul-20,32
Python Word Embedding using Word2vec and keras|How to use word embedding in python,23000,542,17-Jul-20,122
The Art Of Google Search|5 tricks for efficient google search|How to do google search,1300,86,12-Jul-20,20
Word2Vec Simplified|Word2Vec explained in simple language|CBOW and Skipgrm methods in word2vec,43000,1400,9-Jul-20,148
You Should Not be a Data Scientist If...|Who should not become a data scientist,2900,96,5-Jul-20,29
FP growth Vs Apriori Algorithm|FP growth tree vs Apriori algorithm in frequent pattern mining,8100,153,3-Jul-20,28
100th Video from Unfold Data Science (Fun and Motivation) | Unfold Data Science,356,30,30-Jun-20,28
Neural network tuning in Python|Hyper parameter tuning of neural network in python,12000,331,26-Jun-20,53
Neural Network Optimization Key Concepts|How to optimize your neural network,11000,177,24-Jun-20,15
Social Media Analytics Overview|Social media analytics use cases and landscape,6300,111,21-Jun-20,21
GridSearchCV vs RandomizedSeachCV|Difference between Grid GridSearchCV and RandomizedSeachCV,30000,1300,19-Jun-20,185
Adagrad and RMSProp Intuition| How Adagrad and RMSProp optimizer work in deep learning,14000,479,17-Jun-20,83
Keras Vs Pytorch|Keras vs Pytorch - Understanding Deep learning frameworks,3000,99,12-Jun-20,20
Momentum in SGD|Understanding Momentum in stochastic gradient descent,7400,228,10-Jun-20,33
How to present output in Data Science|Presenting output in Data Science Project,5800,157,7-Jun-20,26
Stochastic gradient descent explained | Stochastic gradient descent vs Gradient descent|Mini batch,16000,427,5-Jun-20,47
Neural Network in Python using Keras|How to implement a basic neural network in python using keras,14000,331,3-Jun-20,114
Data Science Projects In Marketing|Data Science projects |Marketing Analytics projects,5600,159,31-May-20,22
Weight Initialization techniques In Neural Network|How to initialize weight in a deep neural network,8800,200,29-May-20,27
Exploding Gradient and Vanishing Gradient problem in deep neural network|Deep learning tutorial,7800,272,26-May-20,30
Customer Analytics Use cases|Customer Analytics using machine learning and artificial intelligence,5700,157,24-May-20,23
Epoch in Neural Network|neural network example step by step |Neural network end to end example data,21000,607,23-May-20,115
Gradient descent simple explanation|gradient descent machine learning|gradient descent algorithm,172000,4900,19-May-20,433
Free Data Sets for Data Science|8 open source data repository for Data Science,2200,104,17-May-20,20
Maths Behind Neural Network | Neural network must know mathematics,10000,341,15-May-20,48
"Components of Neural Network|Neural network Weight, Bias, layers, activation",36000,1100,12-May-20,175
Right Projects for Data Science Resume|How to prepare Data Science Resume,3800,146,10-May-20,56
Intuition behind neural networks|Neural network - the basics and foundation,11000,341,8-May-20,70
Understanding Word Embedding|What is Word Embedding|Word Embedding in Natural language processing,13000,397,5-May-20,55
Correct Approach for First Data Science Job|How to get first job in Data Science,2100,138,3-May-20,33
Hotel Reviews Sentiment Analysis In python|NLP Sentiment analysis in Python,44000,961,1-May-20,227
Countvectorizer and TF IDF in Python|Text feature extraction in Python,37000,855,28-Apr-20,73
Growing Network In Data Science - Need and Tips|How to grow network in data science,631,46,26-Apr-20,22
Feature Extraction techniques from text - BOW and TF IDF|What is TF-IDF and bag of words in NLP,25000,814,24-Apr-20,103
Text Data Cleaning In Python | How to clean text data in python,26000,522,21-Apr-20,99
Product based vs Service based companies for Data Science|Data Science in product vs service based,2600,141,19-Apr-20,21
NLP Data Cleaning techniques|text Data cleaning techniques|How to clean text data,7500,195,17-Apr-20,28
NLP Data Import part 2 - Document parsing|How to parse pdf files in Python|Document parsing Python,14000,282,14-Apr-20,64
R or Python for Data Science|R or Python For Machine Learning|R vs Python,1800,67,12-Apr-20,25
NLP Data Import part 1 - Web Scraping|Web Scraping for natural language processing using python,10000,312,10-Apr-20,51
Natural Language Processing - What and Why|Natural Language Processing In Machine Learning|NLP,13000,291,7-Apr-20,40
Channel updates - Unfold Data Science |Updates for the channel Unfold Data Science - 5th April 2020,1000,31,5-Apr-20,14
Model Based Collaborative filtering in Python | collaborative filtering in python,10000,243,3-Apr-20,45
Item based collaborative filtering in Python|Collaborative filtering in Python,20000,376,31-Mar-20,89
COVID-19 POSITIVE Patient Data Analysis| Corona virus positive patient data analysis - INDIA,1100,41,27-Mar-20,19
Collaborative Filtering (Memory Based)|Item and User based collaborative filtering recommendation,29000,618,24-Mar-20,65
CoronaVirus Spread Forecast|Novel COVID-2019 spread analysis and forecast,977,27,20-Mar-20,28
Content Based Vs Collaborative Filtering|Recommendation system content based vs collaborative filter,17000,435,17-Mar-20,25
Market Basket Analysis In Python|How to implement market basket analysis in Python|apriori algorithm,48000,981,13-Mar-20,182
Association Rule Analysis|Market Basket Analysis,21000,535,10-Mar-20,62
Recommendation System Machine Learning|Recommendation Engine basics In Machine Learning,9800,216,6-Mar-20,22
My Journey to Data Science | Aman - Unfold Data Science,4700,258,28-Feb-20,57
Implementing Gradient Boost In Python|Gradient Boost Python code|Gradient Boost Algorithm in Python,17000,378,21-Feb-20,91
Gradient Boost Machine Learning|How Gradient boost work in Machine Learning,54000,1900,18-Feb-20,401
Implementing Ada Boost in Python|How to implement Ada-boost in python|Python Ada-Boost,18000,399,14-Feb-20,120
Boosting Explained-AdaBoost|Bagging vs Boosting|How Boosting and AdaBoost works,34000,958,11-Feb-20,122
Creating Data Stories - Step by Step|Art of Storytelling in Data Science|How to create data stories,6700,140,7-Feb-20,31
Art of Storytelling In Data Science|How to tell data stories|storytelling in data science,5700,203,4-Feb-20,25
Implementing Random Forest In Python|How to Implement Random Forest In Python|Random Forest ML,44000,802,31-Jan-20,148
How Random Forest Work|How Random Forest Algorithm Works|Random Forest Machine Learning,26000,782,28-Jan-20,113
Introduction to Ensemble learning|What is Ensemble Modelling|Understanding Ensemble Models,23000,516,25-Jan-20,81
Data Science Trends In 2020|Data Science Future Trends|What is Data Science Future Trend,486,26,21-Jan-20,20
Implement Decision Tree in Python using sklearn|Implementing decision tree in python,34000,575,17-Jan-20,145
Gini Index and Entropy|Gini Index and Information gain in Decision Tree|Decision tree splitting rule,110000,2300,14-Jan-20,291
How Decision Tree Works?|How Decision Tree Algorithm Works|Decision Tree In Machine Learning,22000,567,10-Jan-20,71
Artificial Intelligence vs Machine Learning vs Deep Learning vs Data Science,1100,63,7-Jan-20,23
How To Train a Good classification model (PART 2)|Logistic Regression In Python,1000,51,3-Jan-20,32
How To Train a Good Classification Model | Logistic Regression in Python,5500,180,27-Dec-19,56
Understanding Basics of Classification Use Case (Part 2)|Logistic regression explained,3200,102,20-Dec-19,25
Basics of Classification Use Case|What is classification in machine learning,1900,88,17-Dec-19,25
How To Learn Data Science For Free|How To Learn Data Science by Self Study and For Free,906,48,13-Dec-19,17
Deployment of Machine Learning Model (Part 2)|How to deploy a machine learning model using flask,11000,337,10-Dec-19,165
Deployment of Machine Learning Model|How to deploy a machine learning model using flask,19000,511,6-Dec-19,77
Understanding R Squared From Example|R Squared clearly explained,30000,548,3-Dec-19,73
12 Years Old Data Scientist Officially Hired|Siddharth Srivastav Pillai|Young Data Scientist,2200,51,29-Nov-19,16
Implementing machine learning in Python (PART 2)|How to Implement Machine Learning In Python,3200,101,26-Nov-19,43
Implementing machine learning in Python|How to Implement Machine Learning In Python,9900,247,22-Nov-19,73
When To Use Regression|Linear Regression Analysis|Machine Learning Algorithms,54000,1600,19-Nov-19,267
